In,Out,Weight
83658,1008741,1
5026766,5425864,1
1807880,1202118,1
5241453,4692464,1
5865487,1984039,1
5865487,5992309,1
5539800,2138752,1
3844586,1984039,1
3289108,3150441,1
6000624,1871844,1
6000624,2067976,1
1854856,1854856,1
1854856,2067976,1
4661149,4948676,1
3844510,3828573,1
3844510,5824483,1
3844510,4531787,1
3844510,4395287,1
5554751,752920,1
2188299,5127478,1
5056,5056,1
3408554,806600,1
2293454,1739976,1
512115,1842959,1
512115,114251,2
512115,4262006,1
6000502,3113477,1
6000502,7966,1
1661640,3591734,1
5921097,114251,1
4345996,1842959,1
4345996,2238713,1
367878,5127478,1
4889239,1207539,1
4889239,5754587,1
4889239,4175733,1
4437469,7966,1
4437469,701435,1
4437469,2793265,1
3585673,114251,1
4592875,3011380,1
4592875,1259510,1
4192691,1088797,1
3268003,3268003,1
135982,1259510,1
2716653,2259303,1
4698790,1842959,1
4698790,5556440,1
5996012,7966,1
2946873,182668,1
2946873,257182,1
1619369,1876949,1
4155394,1639634,1
4980088,41211,1
889349,1842959,1
5971066,1588897,1
5971066,4692464,1
3817184,1397648,1
3817184,2171374,1
5999102,3694345,1
2269164,3925552,1
2269164,4500099,1
3017452,5991749,1
3017452,2837547,1
3017452,3017452,1
5483329,4278394,1
5919894,5630200,1
5919894,6128842,1
5437138,5077154,1
5194175,5607107,1
5194175,5194175,1
1046184,775715,1
1046184,2050092,1
1578872,4520274,1
6004842,59501,1
1787967,4170645,1
1787967,1815524,1
4952054,6004650,1
1731539,472883,1
1731539,1731539,1
2702425,459557,1
2702425,2702425,1
5369588,3291067,1
5369588,5369588,1
5144855,5423536,1
5144855,250260,1
5144855,5717927,1
5144855,2517849,1
5144855,3395198,1
2916610,3205932,1
2916610,2970947,1
2916610,1737819,1
2916610,4862610,1
1991579,1932557,1
1991579,5946019,1
1991579,1876620,1
5457454,5625089,1
5457454,1545952,1
5457454,5274769,1
1289222,4233197,1
1289222,1289222,1
763029,5645988,1
763029,4601349,1
763029,6087250,1
3030634,4865842,1
2204926,1376111,1
1915099,3679676,2
1893392,5980558,1
