Node,In_weight,Out_weight
5962766,1,0
6103582,1,0
1256219,0,1
1312780,1,0
1319253,0,3
1502230,1,0
3760049,1,0
2293534,1,0
5952680,0,2
1837823,1,0
6053165,1,0
4235187,1,1
2075487,0,2
1934317,1,0
112671,1,0
2023728,1,1
5887944,0,3
289746,1,0
6029145,1,0
5915423,1,1
1510701,0,2
5982110,3,0
157017,0,1
3525469,1,0
1947573,0,1
6001169,0,2
2333222,1,0
5340590,2,0
1582138,1,1
1553519,1,2
481852,5,0
5798999,0,2
2591240,1,0
2739334,0,1
3398732,2,0
2513573,1,2
139985,5,0
5948193,0,1
4857092,1,0
2887326,1,1
3682249,1,1
6000218,0,1
1118566,1,1
3391371,0,1
1518927,1,0
107331,1,0
157672,5,0
1319631,1,0
5891530,0,1
6023061,1,0
6003449,0,2
5909173,1,0
4210707,2,0
575376,0,1
5695504,1,0
5860893,0,1
1064245,2,0
5061027,0,1
411602,3,0
6002391,0,5
2541560,1,0
57695,14,0
6002363,1,0
6003153,0,1
2497492,2,0
2665890,1,3
5703255,1,0
213480,1,0
2028612,0,1
801894,2,0
3558975,0,3
5268867,1,0
5663026,1,0
4040643,0,5
1707091,2,0
1475228,1,0
3514736,1,0
4682610,1,2
1210779,1,0
1344550,1,2
6004973,0,1
5987749,0,1
4697585,1,0
5846386,0,2
5820716,1,0
1013393,0,2
671543,2,0
545127,1,0
5763245,1,3
1658906,2,0
5385992,0,1
5849170,1,2
2071828,1,0
4165652,0,1
4547341,1,0
2741186,0,2
363573,3,0
5443761,0,1
1402664,1,0
1122288,1,1
476828,1,1
2550845,0,2
336657,1,0
4475535,1,1
6004731,0,1
869736,2,0
5942269,0,1
2194364,2,0
3539860,0,3
4856258,1,0
1441122,1,0
3298348,0,2
2313177,4,0
4483113,1,0
4517917,1,1
6002586,0,5
5939753,1,0
3434874,1,0
453005,4,0
982161,11,0
6001705,0,1
1329813,1,0
3809601,0,2
1764080,1,0
38333,1,0
5527914,0,3
5259342,2,1
5875839,2,0
3014866,1,0
5623463,1,1
1314615,1,1
3372043,0,2
6006968,1,0
3904215,1,0
5589049,0,1
5791681,1,0
4375446,0,1
3005941,1,0
6000916,0,2
131872,2,0
4300810,0,1
